sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[   66.181850] Insert module 
[   72.031070] L(12,  8): 0 	
[   72.051677] L( 9,  8): 0 	
[   72.072265] L(11,  8): 0 	
[   72.098460] L(18,  8): 0 	
[   72.119217] L( 8,  8): 0 	
[   72.145268] L(17,  8): 0 	
[   72.171497] L(15,  8): 0 	
[   72.197699] L(21,  8): 0 	
[   72.218298] L(10,  8): 0 	
[   72.244479] L(20,  8): 0 	
[   72.270737] L(16,  8): 0 	
[   72.291314] L(13,  8): 0 	
[   72.312039] L( 7,  8): 0 	
[   72.332396] L( 6,  8): 0 	
[   72.358591] L(19,  8): 0 	
[   72.379362] L(14,  8): 0 	
[   74.382681] Remove module 
