sudo dmesg -C
sudo insmod latency.ko
sudo rmmod latency.ko
dmesg
[ 1036.699339] Insert module 
[ 1043.231110] L(21, 15): 455 	
[ 1043.256483] L(21, 15): 455 	
[ 1043.281015] L(21, 15): 440 	
[ 1043.305230] L(21, 15): 434 	
[ 1043.330191] L(21, 15): 448 	
[ 1043.354981] L(21, 15): 445 	
[ 1043.380302] L(21, 15): 454 	
[ 1043.405406] L(21, 15): 450 	
[ 1043.429391] L(21, 15): 430 	
[ 1043.454051] L(21, 15): 442 	
[ 1043.479186] L(21, 15): 451 	
[ 1043.503722] L(21, 15): 440 	
[ 1043.528842] L(21, 15): 451 	

[ 1043.548418] Remove module 
